AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,Class
422163,2378.908,837.8484,645.6693,0.6373,733.1539,0.9947,424428,0
338136,2085.144,723.8198,595.2073,0.569,656.1464,0.9974,339014,0
526843,2647.394,940.7379,715.3638,0.6494,819.0222,0.9962,528876,0
416063,2351.21,827.9804,645.2988,0.6266,727.8378,0.9948,418255,0
347562,2160.354,763.9877,582.8359,0.6465,665.2291,0.9908,350797,0
408953,2326.6931,840.1821,622.0076,0.6722,721.5921,0.9974,410036,0
451414,2457.208,889.3253,652.4316,0.6796,758.1281,0.997,452755,0
382636,2275.7791,808.0833,609.2819,0.6569,697.988,0.9931,385277,0
546063,2714.948,916.3737,766.4536,0.5481,833.8279,0.9882,552598,0
420044,2391.123,836.928,645.1822,0.637,731.3116,0.9918,423531,0
364495,2216.49,790.9014,590.7698,0.6649,681.2411,0.9949,366374,0
404243,2345.5349,823.7634,628.8527,0.6459,717.4247,0.9921,407460,0
407789,2308.4099,788.727,664.5451,0.5386,720.5644,0.9958,409514,0
340451,2098.1631,724.4111,600.3284,0.5597,658.3887,0.9971,341437,0
467092,2514.2429,895.3616,669.6182,0.6638,771.1809,0.9946,469638,0
386374,2265.666,826.3535,597.2911,0.6911,701.3891,0.9968,387604,0
413069,2350.4109,821.2114,645.8047,0.6177,725.2143,0.9917,416536,0
396792,2291.0701,790.0845,644.6891,0.5781,710.7822,0.9967,398109,0
358545,2199.5081,775.7432,593.731,0.6436,675.658,0.9911,361776,0
397744,2337.2251,869.5142,583.949,0.7409,711.6343,0.9947,399862,0
398901,2299.335,812.7031,628.3113,0.6343,712.6686,0.9965,400295,0
342155,2151.896,760.6585,575.3604,0.6541,660.0343,0.9904,345474,0
408220,2317.6689,769.1027,681.1285,0.4644,720.9451,0.9927,411229,0
306560,2015.198,715.4261,547.121,0.6443,624.7594,0.9952,308043,0
354590,2181.739,772.2312,587.454,0.6491,671.9211,0.9954,356244,0
381508,2239.7891,734.2203,666.2502,0.4202,696.9584,0.9919,384642,0
356022,2170.3101,756.3358,603.8934,0.6021,673.2766,0.9942,358086,0
394859,2315.978,863.4825,583.743,0.7369,709.0487,0.9969,396085,0
